time_ms,temp_C,tec_pwm,pump_pwm,mode
31078,14.63,64,128,STABILIZE
33078,14.63,64,128,STABILIZE
35078,14.69,64,128,STABILIZE
37078,14.81,64,128,STABILIZE
39078,14.81,64,128,STABILIZE
41078,14.88,64,128,STABILIZE
43078,14.88,64,128,STABILIZE
45078,14.94,64,75,PID
47078,14.94,64,75,PID
49078,14.94,64,75,PID
51078,14.94,64,75,PID
53078,14.94,64,75,PID
55078,14.94,64,75,PID
57078,14.94,64,75,PID
59078,14.94,64,75,PID
61078,15.0,64,75,PID
63078,14.94,64,75,PID
65078,14.94,64,75,PID
67078,14.94,64,75,PID
69078,15.0,64,75,PID
71078,14.94,64,75,PID
73078,14.94,64,75,PID
75078,14.94,64,75,PID
77078,14.94,64,75,PID
79078,14.94,64,75,PID
81078,14.94,64,75,PID
83078,14.94,64,75,PID
85078,14.94,64,75,PID
87078,14.94,64,75,PID
89078,14.94,64,75,PID
91078,14.94,64,75,PID
93078,14.94,64,75,PID
95078,14.94,64,75,PID
97078,14.94,64,75,PID
99078,14.94,64,75,PID
101078,14.94,64,75,PID
103078,14.94,64,75,PID
105078,14.94,64,75,PID
107078,14.94,64,75,PID
109078,14.94,64,75,PID
111078,14.88,64,75,PID
113078,14.88,64,75,PID
115078,14.88,64,75,PID
117078,14.88,64,75,PID
119078,14.88,64,75,PID
121078,14.88,64,75,PID
123078,14.88,64,75,PID
125078,14.88,64,75,PID
127078,14.88,64,75,PID
129078,14.88,64,75,PID
131078,14.88,64,75,PID
133078,14.88,64,75,PID
135078,14.88,64,75,PID
137078,14.88,64,75,PID
139078,14.88,64,75,PID
141078,14.88,64,75,PID
143078,14.88,64,75,PID
145078,14.88,64,75,PID
147078,14.88,64,75,PID
149078,14.88,64,75,PID
151078,14.88,64,75,PID
153078,14.81,64,75,PID
155078,14.81,64,75,PID
157078,14.81,64,75,PID
159078,14.81,64,75,PID
161078,14.81,64,75,PID
163078,14.81,64,75,PID
165078,14.81,64,75,PID
167078,14.81,64,75,PID
169078,14.81,64,75,PID
171078,14.81,64,75,PID
173078,14.81,64,75,PID
175078,14.81,64,75,PID
177078,14.81,64,75,PID
179078,14.81,64,75,PID
181078,14.81,64,75,PID
183078,14.81,64,75,PID
185078,14.81,64,75,PID
187078,14.81,64,75,PID
189078,14.81,64,75,PID
191078,14.81,64,75,PID
193078,14.75,64,75,PID
195078,14.75,64,75,PID
197078,14.75,64,75,PID
199078,14.75,64,75,PID
201078,14.75,64,75,PID
203078,14.75,64,75,PID
205078,14.75,64,75,PID
207078,14.75,64,75,PID
209078,14.75,64,75,PID
211078,14.75,64,75,PID
213078,14.75,64,75,PID
215078,14.75,64,75,PID
217078,14.75,64,75,PID
219078,14.75,64,75,PID
221078,14.75,64,75,PID
223078,14.75,64,75,PID
225078,14.75,64,75,PID
227078,14.75,64,75,PID
229078,14.75,64,75,PID
231078,14.75,64,75,PID
233078,14.69,64,75,PID
235078,14.75,64,75,PID
237078,14.69,64,75,PID
239078,14.75,64,75,PID
241078,14.69,64,75,PID
243078,14.69,64,75,PID
245078,14.69,64,75,PID
247078,14.69,64,75,PID
249078,14.69,64,75,PID
251078,14.69,64,75,PID
253078,14.69,64,75,PID
255078,14.69,64,75,PID
257078,14.69,64,75,PID
259078,14.69,64,75,PID
261078,14.69,64,75,PID
263078,14.69,64,75,PID
265078,14.69,64,75,PID
267078,14.69,64,75,PID
269078,14.69,64,75,PID
271078,14.69,64,75,PID
273078,14.69,64,75,PID
275078,14.69,64,75,PID
277078,14.69,64,75,PID
279078,14.63,64,75,PID
281078,14.69,64,75,PID
283078,14.69,64,75,PID
285078,14.63,64,75,PID
287078,14.63,64,75,PID
289078,14.63,64,75,PID
291078,14.63,64,75,PID
293078,14.63,64,75,PID
295078,14.63,64,75,PID
297078,14.63,64,75,PID
299078,14.63,64,75,PID
301078,14.63,64,75,PID
303078,14.63,64,75,PID
305078,14.63,64,75,PID
307078,14.63,64,75,PID
309078,14.63,64,75,PID
311078,14.63,64,75,PID
313078,14.63,64,75,PID
315078,14.63,64,75,PID
317078,14.63,64,75,PID
319078,14.63,64,75,PID
321078,14.63,64,75,PID
323078,14.63,64,75,PID
325078,14.63,64,75,PID
327078,14.56,64,75,PID
329078,14.63,64,75,PID
331078,14.56,64,75,PID
333078,14.56,64,75,PID
335078,14.63,64,75,PID
337078,14.56,64,75,PID
339078,14.56,64,75,PID
341078,14.56,64,75,PID
343078,14.56,64,75,PID
345078,14.56,64,75,PID
347078,14.56,64,75,PID
349078,14.56,64,75,PID
351078,14.56,64,75,PID
353078,14.56,64,75,PID
355078,14.56,64,75,PID
357078,14.56,64,75,PID
359078,14.56,64,75,PID
361078,14.56,64,75,PID
363078,14.56,64,75,PID
365078,14.56,64,75,PID
367078,14.56,64,75,PID
369078,14.56,64,75,PID
371078,14.56,64,75,PID
373078,14.56,64,75,PID
375078,14.5,64,75,PID
377078,14.56,64,75,PID
379078,14.5,64,75,PID
381078,14.5,64,75,PID
383078,14.5,64,75,PID
385078,14.5,64,75,PID
387078,14.5,64,75,PID
389078,14.5,64,75,PID
391078,14.5,64,75,PID
393078,14.5,64,75,PID
395078,14.5,64,75,PID
397078,14.5,64,75,PID
399078,14.5,64,75,PID
401078,14.5,64,75,PID
403078,14.5,64,75,PID
405078,14.5,64,75,PID
407078,14.5,64,75,PID
409078,14.5,64,75,PID
411078,14.5,64,75,PID
413078,14.5,64,75,PID
415078,14.5,64,75,PID
417078,14.5,64,75,PID
419078,14.5,64,75,PID
421078,14.5,64,75,PID
423078,14.5,64,75,PID
427078,14.44,64,75,PID
429078,14.44,64,75,PID
431078,14.44,64,75,PID
433078,14.44,64,75,PID
435078,14.44,64,75,PID
437078,14.44,64,75,PID
439078,14.44,64,75,PID
441078,14.44,64,75,PID
443078,14.44,64,75,PID
445078,14.44,64,75,PID
447078,14.44,64,75,PID
449078,14.44,64,75,PID
451078,14.44,64,75,PID
453078,14.44,64,75,PID
455078,14.44,64,75,PID
457078,14.44,64,75,PID
459078,14.44,64,75,PID
461078,14.44,64,75,PID
463078,14.44,64,75,PID
465078,14.44,64,75,PID
467078,14.44,64,75,PID
469078,14.38,64,75,PID
471078,14.38,64,75,PID
473078,14.44,64,75,PID
475078,14.38,64,75,PID
477078,14.38,64,75,PID
479078,14.38,64,75,PID
481078,14.38,64,75,PID
483078,14.38,64,75,PID
485078,14.38,64,75,PID
487078,14.38,64,75,PID
489078,14.38,64,75,PID
491078,14.38,64,75,PID
493078,14.38,64,75,PID
495078,14.38,64,75,PID
497078,14.38,64,75,PID
499078,14.38,64,75,PID
501078,14.38,64,75,PID
503078,14.38,64,75,PID
505078,14.38,64,75,PID
507078,14.38,64,75,PID
509078,14.38,64,75,PID
511078,14.38,64,75,PID
513078,14.38,64,75,PID
517078,14.38,64,75,PID
519078,14.31,64,75,PID
521078,14.38,64,75,PID
523078,14.38,64,75,PID
525078,14.31,64,75,PID
527078,14.38,64,75,PID
529078,14.31,64,75,PID
531078,14.31,64,75,PID
533078,14.31,64,75,PID
535078,14.31,64,75,PID
537078,14.31,64,75,PID
539078,14.31,64,75,PID
541078,14.31,64,75,PID
543078,14.31,64,75,PID
545078,14.31,64,75,PID
547078,14.31,64,75,PID
549078,14.31,64,75,PID
551078,14.31,64,75,PID
553078,14.31,64,75,PID
555078,14.31,64,75,PID
557078,14.31,64,75,PID
559078,14.31,64,75,PID
561078,14.31,64,75,PID
563078,14.31,64,75,PID
565078,14.31,64,75,PID
567078,14.31,64,75,PID
569078,14.31,64,75,PID
571078,14.25,64,75,PID
573078,14.31,64,75,PID
575078,14.31,64,75,PID
577078,14.31,64,75,PID
579078,14.25,64,75,PID
581078,14.31,64,75,PID
583078,14.25,64,75,PID
585078,14.25,64,75,PID
587078,14.25,64,75,PID
589078,14.25,64,75,PID
591078,14.25,64,75,PID
593078,14.25,64,75,PID
595078,14.25,64,75,PID
597078,14.25,64,75,PID
599078,14.25,64,75,PID
601078,14.25,64,75,PID
603078,14.25,64,75,PID
605078,14.25,64,75,PID
607078,14.25,64,75,PID
609078,14.25,64,75,PID
611078,14.25,64,75,PID
613078,14.25,64,75,PID
615078,14.25,64,75,PID
617078,14.25,64,75,PID
619078,14.25,64,75,PID
621078,14.25,64,75,PID
623078,14.25,64,75,PID
625078,14.25,64,75,PID
627078,14.25,64,75,PID
629078,14.25,64,75,PID
631078,14.19,64,75,PID
633078,14.19,64,75,PID
635078,14.19,64,75,PID
637078,14.19,64,75,PID
639078,14.25,64,75,PID
641078,14.19,64,75,PID
643078,14.19,64,75,PID
645078,14.19,64,75,PID
647078,14.19,64,75,PID
649078,14.19,64,75,PID
651078,14.19,64,75,PID
653078,14.19,64,75,PID
655078,14.19,64,75,PID
657078,14.19,64,75,PID
659078,14.19,64,75,PID
661078,14.19,64,75,PID
663078,14.19,64,75,PID
665078,14.19,64,75,PID
667078,14.19,64,75,PID
669078,14.19,64,75,PID
671078,14.19,64,75,PID
673078,14.19,64,75,PID
675078,14.19,64,75,PID
677078,14.19,64,75,PID
679078,14.19,64,75,PID
681078,14.19,64,75,PID
683078,14.19,64,75,PID
685078,14.19,64,75,PID
687078,14.13,64,75,PID
689078,14.13,64,75,PID
691078,14.13,64,75,PID
693078,14.13,64,75,PID
695078,14.13,64,75,PID
697078,14.13,64,75,PID
699078,14.13,64,75,PID
701078,14.13,64,75,PID
703078,14.13,64,75,PID
705078,14.13,64,75,PID
707078,14.13,64,75,PID
709078,14.13,64,75,PID
711078,14.13,64,75,PID
713078,14.13,64,75,PID
715078,14.13,64,75,PID
717078,14.13,64,75,PID
719078,14.13,64,75,PID
721078,14.13,64,75,PID
723078,14.13,64,75,PID
725078,14.13,64,75,PID
727078,14.13,64,75,PID
729078,14.13,64,75,PID
731078,14.13,64,75,PID
733078,14.13,64,75,PID
735078,14.13,64,75,PID
737078,14.13,64,75,PID
739078,14.13,64,75,PID
741078,14.13,64,75,PID
743078,14.13,64,75,PID
745078,14.13,64,75,PID
747078,14.13,64,75,PID
749078,14.06,64,75,PID
751078,14.06,64,75,PID
753078,14.06,64,75,PID
755078,14.06,64,75,PID
757078,14.06,64,75,PID
759078,14.06,64,75,PID
761078,14.06,64,75,PID
763078,14.06,64,75,PID
765078,14.06,64,75,PID
767078,14.06,64,75,PID
769078,14.06,64,75,PID
771078,14.06,64,75,PID
773078,14.06,64,75,PID
775078,14.06,64,75,PID
777078,14.06,64,75,PID
779078,14.06,64,75,PID
781078,14.06,64,75,PID
783078,14.06,64,75,PID
785078,14.06,64,75,PID
787078,14.06,64,75,PID
789078,14.06,64,75,PID
791078,14.06,64,75,PID
793078,14.06,64,75,PID
795078,14.06,64,75,PID
797078,14.06,64,75,PID
799078,14.06,64,75,PID
801078,14.06,64,75,PID
803078,14.06,64,75,PID
805078,14.06,64,75,PID
807078,14.0,64,75,PID
809078,14.06,64,75,PID
811078,14.0,64,75,PID
813078,14.0,64,75,PID
815078,14.0,64,75,PID
817078,14.0,64,75,PID
819078,14.0,64,75,PID
821078,14.0,64,75,PID
823078,14.0,64,75,PID
825078,14.0,64,75,PID
827078,14.0,64,75,PID
829078,14.0,64,75,PID
831078,14.0,64,75,PID
833078,14.0,64,75,PID
835078,14.0,64,75,PID
837078,14.0,64,75,PID
841078,14.0,64,75,PID
843078,14.0,64,75,PID
845078,14.0,64,75,PID
847078,14.0,64,75,PID
849078,14.0,64,75,PID
851078,14.0,64,75,PID
853078,14.0,64,75,PID
855078,14.0,64,75,PID
857078,14.0,64,75,PID
859078,14.0,64,75,PID
861078,14.0,64,75,PID
863078,14.0,64,75,PID
865078,13.94,64,75,PID
867078,13.94,64,75,PID
869078,14.0,64,75,PID
871078,14.0,64,75,PID
873078,13.94,64,75,PID
875078,13.94,64,75,PID
877078,13.94,64,75,PID
879078,14.0,64,75,PID
881078,13.94,64,75,PID
883078,13.94,64,75,PID
885078,13.94,64,75,PID
887078,13.94,64,75,PID
889078,13.94,64,75,PID
891078,13.94,64,75,PID
893078,13.94,64,75,PID
895078,13.94,64,75,PID
897078,13.94,64,75,PID
899078,13.94,64,75,PID
901078,13.94,64,75,PID
903078,13.94,64,75,PID
905078,13.94,64,75,PID
907078,13.94,64,75,PID
909078,13.94,64,75,PID
911078,13.94,64,75,PID
913078,13.94,64,75,PID
915078,13.94,64,75,PID
917078,13.94,64,75,PID
919078,13.94,64,75,PID
921078,13.94,64,75,PID
923078,13.94,64,75,PID
925078,13.94,64,75,PID
927078,13.94,64,75,PID
929078,13.94,64,75,PID
931078,13.94,64,75,PID
933078,13.88,64,75,PID
935078,13.88,64,75,PID
937078,13.88,64,75,PID
939078,13.94,64,75,PID
941078,13.88,64,75,PID
943078,13.88,64,75,PID
945078,13.88,64,75,PID
947078,13.88,64,75,PID
949078,13.88,64,75,PID
951078,13.88,64,75,PID
953078,13.88,64,75,PID
955078,13.88,64,75,PID
957078,13.88,64,75,PID
959078,13.88,64,75,PID
961078,13.88,64,75,PID
963078,13.88,64,75,PID
965078,13.88,64,75,PID
967078,13.88,64,75,PID
969078,13.88,64,75,PID
971078,13.88,64,75,PID
973078,13.88,64,75,PID
975078,13.88,64,75,PID
977078,13.88,64,75,PID
979078,13.88,64,75,PID
981078,13.88,64,75,PID
983078,13.88,64,75,PID
985078,13.88,64,75,PID
987078,13.88,64,75,PID
989078,13.88,64,75,PID
991078,13.88,64,75,PID
993078,13.88,64,75,PID
995078,13.88,64,75,PID
997078,13.81,64,75,PID
999078,13.81,64,75,PID
1001078,13.88,64,75,PID
1003078,13.81,64,75,PID
1005078,13.81,64,75,PID
1007078,13.81,64,75,PID
1009078,13.81,64,75,PID
1011078,13.81,64,75,PID
1013078,13.81,64,75,PID
1015078,13.81,64,75,PID
1017078,13.81,64,75,PID
1019078,13.81,64,75,PID
1021078,13.81,64,75,PID
1023078,13.81,64,75,PID
1025078,13.81,64,75,PID
1027078,13.81,64,75,PID
1029078,13.81,64,75,PID
1031078,13.81,64,75,PID
1033078,13.81,64,75,PID
1035078,13.81,64,75,PID
1037078,13.81,64,75,PID
1039078,13.81,64,75,PID
1041078,13.81,64,75,PID
1043078,13.81,64,75,PID
1045078,13.81,64,75,PID
1047078,13.81,64,75,PID
1049078,13.81,64,75,PID
1051078,13.81,64,75,PID
1053078,13.81,64,75,PID
1055078,13.81,64,75,PID
1057078,13.81,64,75,PID
1059078,13.81,64,75,PID
1061078,13.81,64,75,PID
1063078,13.81,64,75,PID
1065078,13.75,64,75,PID
1067078,13.81,64,75,PID
1069078,13.81,64,75,PID
1071078,13.75,64,75,PID
1073078,13.75,64,75,PID
1075078,13.75,64,75,PID
1077078,13.75,64,75,PID
1079078,13.75,64,75,PID
1081078,13.75,64,75,PID
1083078,13.75,64,75,PID
1085078,13.75,64,75,PID
1087078,13.75,64,75,PID
1089078,13.75,64,75,PID
1091078,13.75,64,75,PID
1093078,13.75,64,75,PID
1095078,13.75,64,75,PID
1097078,13.75,64,75,PID
1099078,13.75,64,75,PID
1101078,13.75,64,75,PID
1103078,13.75,64,75,PID
