time_ms,temp_C,tec_pwm,pump_pwm,mode
18574,24.25,64,128,STABILIZE
20574,24.25,64,128,STABILIZE
22574,24.25,64,128,STABILIZE
24574,24.25,64,128,STABILIZE
26574,24.25,64,128,STABILIZE
28574,24.25,64,128,STABILIZE
30574,24.25,64,128,STABILIZE
32574,24.25,64,128,STABILIZE
34574,24.19,64,128,STABILIZE
36574,24.19,64,128,STABILIZE
38574,24.19,64,128,STABILIZE
40574,24.19,64,128,STABILIZE
42574,24.12,64,128,STABILIZE
44574,24.12,64,128,STABILIZE
46574,24.12,64,75,PID
48574,24.06,64,75,PID
50574,24.06,64,75,PID
52574,24.06,64,75,PID
54574,24.06,64,75,PID
56574,24.0,64,75,PID
58574,24.0,64,75,PID
60574,24.0,64,75,PID
62574,24.0,64,75,PID
64574,23.94,64,75,PID
66574,23.94,64,75,PID
68574,23.94,64,75,PID
70574,23.87,64,75,PID
72574,23.87,64,75,PID
74574,23.87,64,75,PID
76574,23.87,64,75,PID
78574,23.81,64,75,PID
80574,23.81,64,75,PID
82574,23.81,64,75,PID
84574,23.75,64,75,PID
86574,23.75,64,75,PID
88574,23.75,64,75,PID
90574,23.75,64,75,PID
92574,23.69,64,75,PID
94574,23.69,64,75,PID
96574,23.69,64,75,PID
98574,23.69,64,75,PID
100574,23.62,64,75,PID
102574,23.62,64,75,PID
104574,23.62,64,75,PID
106574,23.62,64,75,PID
108574,23.56,64,75,PID
110574,23.56,64,75,PID
112574,23.56,64,75,PID
114574,23.5,64,75,PID
116574,23.5,64,75,PID
118574,23.5,64,75,PID
120574,23.5,64,75,PID
122574,23.44,64,75,PID
124574,23.44,64,75,PID
126574,23.44,64,75,PID
128574,23.44,64,75,PID
130574,23.37,64,75,PID
132574,23.37,64,75,PID
134574,23.37,64,75,PID
136574,23.37,64,75,PID
138574,23.31,64,75,PID
140574,23.31,64,75,PID
142574,23.31,64,75,PID
144574,23.31,64,75,PID
146574,23.25,64,75,PID
148574,23.25,64,75,PID
150574,23.25,64,75,PID
152574,23.25,64,75,PID
154574,23.25,64,75,PID
156574,23.19,64,75,PID
158574,23.19,64,75,PID
160574,23.19,64,75,PID
162574,23.19,64,75,PID
164574,23.12,64,75,PID
166574,23.12,64,75,PID
168574,23.12,64,75,PID
170574,23.12,64,75,PID
172574,23.06,64,75,PID
174574,23.06,64,75,PID
176574,23.06,64,75,PID
178574,23.06,64,75,PID
180574,23.0,64,75,PID
182574,23.0,64,75,PID
184574,23.0,64,75,PID
186574,23.0,64,75,PID
190574,22.94,64,75,PID
192574,22.94,64,75,PID
194574,22.94,64,75,PID
196574,22.94,64,75,PID
198574,22.87,64,75,PID
200574,22.87,64,75,PID
202574,22.87,64,75,PID
204574,22.87,64,75,PID
206574,22.87,64,75,PID
208574,22.87,64,75,PID
210574,22.81,64,75,PID
212574,22.81,64,75,PID
214574,22.81,64,75,PID
216574,22.75,64,75,PID
218574,22.75,64,75,PID
220574,22.75,64,75,PID
222574,22.75,64,75,PID
224574,22.75,64,75,PID
226574,22.75,64,75,PID
228574,22.69,64,75,PID
230574,22.69,64,75,PID
232574,22.69,64,75,PID
234574,22.69,64,75,PID
236574,22.69,64,75,PID
238574,22.62,64,75,PID
240574,22.62,64,75,PID
242574,22.62,64,75,PID
244574,22.62,64,75,PID
246574,22.56,64,75,PID
248574,22.56,64,75,PID
250574,22.56,64,75,PID
252574,22.5,64,75,PID
254574,22.56,64,75,PID
256574,22.5,64,75,PID
258574,22.5,64,75,PID
260574,22.5,64,75,PID
262574,22.5,64,75,PID
264574,22.44,64,75,PID
266574,22.44,64,75,PID
268574,22.44,64,75,PID
270574,22.44,64,75,PID
272574,22.44,64,75,PID
274574,22.37,64,75,PID
276574,22.37,64,75,PID
278574,22.37,64,75,PID
280574,22.37,64,75,PID
282574,22.37,64,75,PID
284574,22.31,64,75,PID
286574,22.31,64,75,PID
288574,22.31,64,75,PID
290574,22.31,64,75,PID
292574,22.31,64,75,PID
294574,22.25,64,75,PID
296574,22.25,64,75,PID
298574,22.25,64,75,PID
300574,22.25,64,75,PID
302574,22.19,64,75,PID
304574,22.25,64,75,PID
306574,22.19,64,75,PID
308574,22.19,64,75,PID
310574,22.19,64,75,PID
312574,22.12,64,75,PID
314574,22.12,64,75,PID
316574,22.12,64,75,PID
318574,22.12,64,75,PID
322574,22.12,64,75,PID
324574,22.06,64,75,PID
326574,22.06,64,75,PID
328574,22.06,64,75,PID
330574,22.06,64,75,PID
332574,22.0,64,75,PID
334574,22.0,64,75,PID
336574,22.0,64,75,PID
338574,22.0,64,75,PID
340574,22.0,64,75,PID
342574,21.94,64,75,PID
344574,21.94,64,75,PID
346574,21.94,64,75,PID
348574,21.94,64,75,PID
350574,21.94,64,75,PID
352574,21.94,64,75,PID
354574,21.87,64,75,PID
356574,21.87,64,75,PID
358574,21.87,64,75,PID
360574,21.87,64,75,PID
362574,21.87,64,75,PID
364574,21.81,64,75,PID
366574,21.81,64,75,PID
368574,21.81,64,75,PID
370574,21.81,64,75,PID
372574,21.81,64,75,PID
374574,21.75,64,75,PID
376574,21.75,64,75,PID
378574,21.75,64,75,PID
380574,21.75,64,75,PID
382574,21.75,64,75,PID
384574,21.75,64,75,PID
386574,21.75,64,75,PID
388574,21.69,64,75,PID
390574,21.69,64,75,PID
392574,21.69,64,75,PID
394574,21.69,64,75,PID
396574,21.62,64,75,PID
400574,21.62,64,75,PID
402574,21.62,64,75,PID
404574,21.62,64,75,PID
406574,21.62,64,75,PID
408574,21.56,64,75,PID
410574,21.56,64,75,PID
412574,21.56,64,75,PID
414574,21.56,64,75,PID
416574,21.56,64,75,PID
418574,21.5,64,75,PID
420574,21.5,64,75,PID
422574,21.5,64,75,PID
424574,21.5,64,75,PID
426574,21.5,64,75,PID
430574,21.44,64,75,PID
432574,21.44,64,75,PID
434574,21.44,64,75,PID
436574,21.44,64,75,PID
438574,21.44,64,75,PID
440574,21.44,64,75,PID
442574,21.37,64,75,PID
444574,21.37,64,75,PID
446574,21.37,64,75,PID
448574,21.37,64,75,PID
450574,21.37,64,75,PID
452574,21.37,64,75,PID
454574,21.31,64,75,PID
456574,21.31,64,75,PID
458574,21.31,64,75,PID
460574,21.31,64,75,PID
462574,21.31,64,75,PID
464574,21.25,64,75,PID
466574,21.25,64,75,PID
468574,21.25,64,75,PID
470574,21.25,64,75,PID
472574,21.25,64,75,PID
474574,21.25,64,75,PID
476574,21.19,64,75,PID
478574,21.19,64,75,PID
480574,21.19,64,75,PID
482574,21.19,64,75,PID
484574,21.19,64,75,PID
486574,21.12,64,75,PID
488574,21.12,64,75,PID
490574,21.12,64,75,PID
492574,21.12,64,75,PID
494574,21.12,64,75,PID
496574,21.12,64,75,PID
498574,21.12,64,75,PID
500574,21.06,64,75,PID
502574,21.06,64,75,PID
504574,21.06,64,75,PID
506574,21.06,64,75,PID
508574,21.06,64,75,PID
510574,21.06,64,75,PID
512574,21.0,64,75,PID
514574,21.0,64,75,PID
516574,21.0,64,75,PID
518574,21.0,64,75,PID
520574,21.0,64,75,PID
522574,21.0,64,75,PID
524574,20.94,64,75,PID
526574,20.94,64,75,PID
528574,20.94,64,75,PID
530574,20.94,64,75,PID
532574,20.94,64,75,PID
534574,20.94,64,75,PID
536574,20.87,64,75,PID
538574,20.87,64,75,PID
540574,20.87,64,75,PID
542574,20.87,64,75,PID
544574,20.87,64,75,PID
546574,20.87,64,75,PID
548574,20.81,64,75,PID
550574,20.81,64,75,PID
552574,20.81,64,75,PID
554574,20.81,64,75,PID
556574,20.81,64,75,PID
558574,20.81,64,75,PID
560574,20.81,64,75,PID
562574,20.75,64,75,PID
564574,20.75,64,75,PID
566574,20.75,64,75,PID
568574,20.75,64,75,PID
