time_ms,temp_C,tec_pwm,pump_pwm,mode
10074,15.25,64,128,STABILIZE
28126,16.19,64,128,STABILIZE
30126,16.5,64,128,STABILIZE
32126,16.94,64,128,STABILIZE
34126,17.25,64,128,STABILIZE
36126,17.44,64,128,STABILIZE
38126,17.62,64,128,STABILIZE
45792,17.94,64,128,STABILIZE
47792,18.0,64,128,STABILIZE
49792,18.12,64,128,STABILIZE
51792,18.12,64,128,STABILIZE
54042,18.19,64,128,STABILIZE
56042,18.25,64,128,STABILIZE
58042,18.25,64,128,STABILIZE
60042,18.31,64,128,STABILIZE
62042,18.31,64,128,STABILIZE
64042,18.31,64,128,STABILIZE
66042,18.31,64,128,STABILIZE
68042,18.31,64,128,STABILIZE
80212,18.31,64,128,STABILIZE
82212,18.37,64,128,STABILIZE
84212,18.37,64,75,PID
86212,18.37,64,75,PID
88212,18.37,64,75,PID
90212,18.37,64,75,PID
92212,18.37,64,75,PID
94212,18.37,64,75,PID
96212,18.37,64,75,PID
98212,18.37,64,75,PID
100212,18.37,64,75,PID
102212,18.37,64,75,PID
104212,18.37,64,75,PID
106212,18.37,64,75,PID
108212,18.37,64,75,PID
110212,18.37,64,75,PID
112212,18.37,64,75,PID
114212,18.37,64,75,PID
116212,18.37,64,75,PID
118212,18.31,64,75,PID
120212,18.37,64,75,PID
122212,18.31,64,75,PID
124212,18.31,64,75,PID
126212,18.31,64,75,PID
128212,18.31,64,75,PID
130212,18.31,64,75,PID
132212,18.31,64,75,PID
134212,18.31,64,75,PID
136212,18.31,64,75,PID
138212,18.31,64,75,PID
140212,18.31,64,75,PID
142212,18.25,64,75,PID
144212,18.25,64,75,PID
146212,18.25,64,75,PID
148212,18.25,64,75,PID
150212,18.25,64,75,PID
152212,18.25,64,75,PID
154212,18.25,64,75,PID
156212,18.25,64,75,PID
158212,18.25,64,75,PID
160212,18.25,64,75,PID
162212,18.25,64,75,PID
164212,18.25,64,75,PID
166212,18.19,64,75,PID
168212,18.19,64,75,PID
170212,18.19,64,75,PID
172212,18.19,64,75,PID
174212,18.19,64,75,PID
176212,18.19,64,75,PID
178212,18.19,64,75,PID
180212,18.19,64,75,PID
182212,18.19,64,75,PID
184212,18.19,64,75,PID
186212,18.19,64,75,PID
188212,18.19,64,75,PID
190212,18.19,64,75,PID
192212,18.19,64,75,PID
194212,18.12,64,75,PID
196212,18.12,64,75,PID
198212,18.12,64,75,PID
200212,18.12,64,75,PID
202212,18.12,64,75,PID
204212,18.12,64,75,PID
206212,18.12,64,75,PID
208212,18.12,64,75,PID
210212,18.12,64,75,PID
212212,18.12,64,75,PID
214212,18.12,64,75,PID
216212,18.12,64,75,PID
218212,18.06,64,75,PID
220212,18.12,64,75,PID
222212,18.06,64,75,PID
224212,18.06,64,75,PID
226212,18.06,64,75,PID
228212,18.06,64,75,PID
230212,18.06,64,75,PID
232212,18.06,64,75,PID
234212,18.06,64,75,PID
236212,18.06,64,75,PID
238212,18.06,64,75,PID
