time_ms,temp_C,tec_pwm,pump_pwm,mode
23078,18.06,64,128,STABILIZE
25078,18.06,64,128,STABILIZE
27078,18.12,64,128,STABILIZE
29078,18.19,64,128,STABILIZE
31078,18.25,64,128,STABILIZE
33078,18.31,64,128,STABILIZE
35078,18.31,64,75,PID
37078,18.31,64,75,PID
39078,18.31,64,75,PID
41078,18.31,64,75,PID
43078,18.37,64,75,PID
45078,18.31,64,75,PID
47078,18.37,64,75,PID
49078,18.31,64,75,PID
51078,18.31,64,75,PID
53078,18.31,64,75,PID
55078,18.31,64,75,PID
57078,18.31,64,75,PID
59078,18.31,64,75,PID
61078,18.31,64,75,PID
63078,18.31,64,75,PID
65078,18.25,64,75,PID
67078,18.25,64,75,PID
69078,18.25,64,75,PID
71078,18.25,64,75,PID
73078,18.25,64,75,PID
75078,18.25,64,75,PID
77078,18.25,64,75,PID
79078,18.19,64,75,PID
81078,18.19,64,75,PID
83078,18.19,64,75,PID
85078,18.19,64,75,PID
87078,18.19,64,75,PID
89078,18.19,64,75,PID
91078,18.12,64,75,PID
93078,18.12,64,75,PID
95078,18.12,64,75,PID
97078,18.12,64,75,PID
99078,18.12,64,75,PID
101078,18.12,64,75,PID
103078,18.12,64,75,PID
105078,18.12,64,75,PID
107078,18.12,64,75,PID
109078,18.06,64,75,PID
111078,18.06,64,75,PID
113078,18.06,64,75,PID
115078,18.06,64,75,PID
117078,18.06,64,75,PID
119078,18.06,64,75,PID
121078,18.06,64,75,PID
123078,18.0,64,75,PID
125078,18.0,64,75,PID
127078,18.0,64,75,PID
129078,18.0,64,75,PID
131078,18.0,64,75,PID
133078,18.0,64,75,PID
135078,18.0,64,75,PID
137078,17.94,64,75,PID
139078,17.94,64,75,PID
141078,17.94,64,75,PID
143078,17.94,64,75,PID
145078,17.94,64,75,PID
147078,17.94,64,75,PID
149078,17.94,64,75,PID
151078,17.94,64,75,PID
153078,17.94,64,75,PID
155078,17.87,64,75,PID
157078,17.87,64,75,PID
159078,17.87,64,75,PID
161078,17.87,64,75,PID
163078,17.87,64,75,PID
165078,17.87,64,75,PID
167078,17.87,64,75,PID
169078,17.87,64,75,PID
171078,17.87,64,75,PID
173078,17.81,64,75,PID
175078,17.81,64,75,PID
177078,17.81,64,75,PID
179078,17.81,64,75,PID
181078,17.81,64,75,PID
183078,17.81,64,75,PID
185078,17.81,64,75,PID
187078,17.81,64,75,PID
189078,17.75,64,75,PID
191078,17.75,64,75,PID
193078,17.75,64,75,PID
195078,17.75,64,75,PID
197078,17.75,64,75,PID
199078,17.75,64,75,PID
201078,17.75,64,75,PID
203078,17.75,64,75,PID
205078,17.75,64,75,PID
207078,17.75,64,75,PID
209078,17.69,64,75,PID
211078,17.75,64,75,PID
213078,17.69,64,75,PID
215078,17.69,64,75,PID
217078,17.69,64,75,PID
219078,17.69,64,75,PID
221078,17.69,64,75,PID
223078,17.69,64,75,PID
225078,17.69,64,75,PID
227078,17.62,64,75,PID
229078,17.62,64,75,PID
231078,17.62,64,75,PID
233078,17.62,64,75,PID
235078,17.62,64,75,PID
