time_ms,temp_C,tec_pwm,pump_pwm,mode
21578,21.12,64,128,STABILIZE
23578,21.12,64,128,STABILIZE
25578,21.19,64,128,STABILIZE
27578,21.19,64,128,STABILIZE
29578,21.19,64,128,STABILIZE
31578,21.19,64,128,STABILIZE
33578,21.19,64,128,STABILIZE
35578,21.19,64,128,STABILIZE
37578,21.19,64,128,STABILIZE
39578,21.19,64,75,PID
41578,21.19,64,75,PID
43578,21.19,64,75,PID
45578,21.12,64,75,PID
47578,21.12,64,75,PID
49578,21.12,64,75,PID
51578,21.12,64,75,PID
53578,21.12,64,75,PID
55578,21.12,64,75,PID
57578,21.12,64,75,PID
59578,21.06,64,75,PID
61578,21.06,64,75,PID
63578,21.06,64,75,PID
65578,21.06,64,75,PID
67578,21.06,64,75,PID
69578,21.06,64,75,PID
71578,21.06,64,75,PID
73578,21.0,64,75,PID
75578,21.0,64,75,PID
77578,21.0,64,75,PID
79578,21.0,64,75,PID
81578,21.0,64,75,PID
83578,20.94,64,75,PID
85578,20.94,64,75,PID
87578,20.94,64,75,PID
89578,20.94,64,75,PID
91578,20.94,64,75,PID
93578,20.94,64,75,PID
95578,20.87,64,75,PID
97578,20.87,64,75,PID
99578,20.87,64,75,PID
101578,20.87,64,75,PID
103578,20.87,64,75,PID
105578,20.87,64,75,PID
107578,20.81,64,75,PID
109578,20.81,64,75,PID
111578,20.81,64,75,PID
113578,20.81,64,75,PID
115578,20.75,64,75,PID
117578,20.75,64,75,PID
119578,20.75,64,75,PID
121578,20.75,64,75,PID
123578,20.75,64,75,PID
125578,20.75,64,75,PID
127578,20.75,64,75,PID
129578,20.69,64,75,PID
131578,20.75,64,75,PID
133578,20.69,64,75,PID
135578,20.69,64,75,PID
137578,20.69,64,75,PID
139578,20.62,64,75,PID
141578,20.62,64,75,PID
143578,20.62,64,75,PID
145578,20.62,64,75,PID
147578,20.62,64,75,PID
149578,20.62,64,75,PID
151578,20.62,64,75,PID
153578,20.56,64,75,PID
155578,20.56,64,75,PID
157578,20.56,64,75,PID
159578,20.56,64,75,PID
161578,20.56,64,75,PID
163578,20.56,64,75,PID
165578,20.56,64,75,PID
167578,20.5,64,75,PID
169578,20.5,64,75,PID
171578,20.5,64,75,PID
173578,20.5,64,75,PID
175578,20.5,64,75,PID
177578,20.5,64,75,PID
179578,20.44,64,75,PID
181578,20.44,64,75,PID
183578,20.44,64,75,PID
185578,20.44,64,75,PID
187578,20.44,64,75,PID
189578,20.37,64,75,PID
191578,20.37,64,75,PID
193578,20.37,64,75,PID
195578,20.37,64,75,PID
197578,20.37,64,75,PID
199578,20.37,64,75,PID
201578,20.31,64,75,PID
203578,20.31,64,75,PID
205578,20.31,64,75,PID
207578,20.31,64,75,PID
209578,20.31,64,75,PID
211578,20.31,64,75,PID
213578,20.31,64,75,PID
215578,20.31,64,75,PID
217578,20.25,64,75,PID
219578,20.25,64,75,PID
221578,20.25,64,75,PID
223578,20.25,64,75,PID
225578,20.25,64,75,PID
227578,20.25,64,75,PID
229578,20.25,64,75,PID
231578,20.19,64,75,PID
233578,20.19,64,75,PID
235578,20.19,64,75,PID
237578,20.19,64,75,PID
