time_ms,temp_C,tec_pwm,pump_pwm,mode
2574,20.87,64,128,STABILIZE
4574,20.94,64,128,STABILIZE
6574,21.06,64,128,STABILIZE
8574,21.25,64,128,STABILIZE
10574,21.37,64,128,STABILIZE
12574,21.44,64,128,STABILIZE
14574,21.5,64,128,STABILIZE
16574,21.56,64,128,STABILIZE
18574,21.62,64,128,STABILIZE
20574,21.62,64,128,STABILIZE
22574,21.69,64,128,STABILIZE
24574,21.69,64,128,STABILIZE
26574,21.69,64,128,STABILIZE
28574,21.69,64,128,STABILIZE
30574,21.69,64,128,STABILIZE
32574,21.69,64,128,STABILIZE
34574,21.69,64,128,STABILIZE
36574,21.69,64,153,PID
38574,21.69,64,153,PID
40574,21.69,64,153,PID
42574,21.69,64,153,PID
44574,21.62,64,159,PID
46574,21.62,64,159,PID
48574,21.62,64,159,PID
50574,21.62,64,159,PID
52574,21.62,64,159,PID
54574,21.62,64,159,PID
56574,21.62,64,159,PID
58574,21.56,64,165,PID
60574,21.62,64,159,PID
62574,21.56,64,165,PID
64574,21.56,64,165,PID
66574,21.56,64,165,PID
68574,21.56,64,165,PID
70574,21.5,64,171,PID
72574,21.5,64,171,PID
74574,21.5,64,171,PID
76574,21.5,64,171,PID
78574,21.5,64,171,PID
80574,21.5,64,171,PID
82574,21.44,64,178,PID
84574,21.44,64,177,PID
86574,21.44,64,177,PID
88574,21.44,64,177,PID
90574,21.44,64,177,PID
92574,21.44,64,177,PID
94574,21.37,64,180,PID
96574,21.37,64,180,PID
98574,21.37,64,180,PID
100574,21.37,64,180,PID
102574,21.37,64,180,PID
104574,21.31,64,180,PID
106574,21.37,64,180,PID
108574,21.31,64,180,PID
110574,21.31,64,180,PID
112574,21.31,64,180,PID
114574,21.31,64,180,PID
116574,21.31,64,180,PID
118574,21.31,64,180,PID
120574,21.25,64,180,PID
122574,21.25,64,180,PID
124574,21.25,64,180,PID
126574,21.25,64,180,PID
128574,21.25,64,180,PID
130574,21.19,64,180,PID
132574,21.19,64,180,PID
134574,21.19,64,180,PID
136574,21.19,64,180,PID
