time_ms,temp_C,tec_pwm,pump_pwm,mode,setpoint,created
3465000,22.13,64,128,STABILIZE,21.0,2026-06-04T09:42:51.021411
3470000,22.37,64,128,STABILIZE,21.0,2026-06-04T09:42:56.000947
3475000,22.56,64,128,STABILIZE,21.0,2026-06-04T09:43:01.001917
3480000,22.62,64,128,STABILIZE,21.0,2026-06-04T09:43:06.000123
3485000,22.62,204,128,MODE2,20.0,2026-06-04T09:43:11.001850
3490000,22.62,204,128,MODE2,20.0,2026-06-04T09:43:16.004023
3495000,22.62,204,128,MODE2,20.0,2026-06-04T09:43:21.002601
3500000,22.56,204,128,MODE2,20.0,2026-06-04T09:43:26.001319
3505000,22.5,204,128,MODE2,20.0,2026-06-04T09:43:31.002043
3510000,22.44,204,128,MODE2,20.0,2026-06-04T09:43:36.000921
3515000,22.37,204,128,MODE2,20.0,2026-06-04T09:43:41.000522
3520000,22.31,204,128,MODE2,20.0,2026-06-04T09:43:45.999909
3525000,22.19,204,128,MODE2,20.0,2026-06-04T09:43:51.000608
3530000,22.13,204,128,MODE2,20.0,2026-06-04T09:43:56.001217
3535000,22.06,204,128,MODE2,20.0,2026-06-04T09:44:01.000137
3540000,22.0,204,128,MODE2,20.0,2026-06-04T09:44:05.998946
3545000,21.94,204,128,MODE2,20.0,2026-06-04T09:44:10.999121
3550000,21.87,202,128,MODE2,20.0,2026-06-04T09:44:15.999844
3555000,21.81,196,128,MODE2,20.0,2026-06-04T09:44:20.998202
3560000,21.75,190,128,MODE2,20.0,2026-06-04T09:44:25.999506
3565000,21.69,184,128,MODE2,20.0,2026-06-04T09:44:30.998117
3570000,21.62,178,128,MODE2,20.0,2026-06-04T09:44:35.999006
3575000,21.56,172,128,MODE2,20.0,2026-06-04T09:44:40.999005
3580000,21.5,166,128,MODE2,20.0,2026-06-04T09:44:46.001013
3585000,21.44,160,128,MODE2,20.0,2026-06-04T09:44:51.000851
3590000,21.44,160,128,MODE2,20.0,2026-06-04T09:44:56.056330
3595000,21.37,154,128,MODE2,20.0,2026-06-04T09:45:01.061963
3600000,21.31,148,128,MODE2,20.0,2026-06-04T09:45:05.999566
3605000,21.25,142,128,MODE2,20.0,2026-06-04T09:45:11.000093
3610000,21.25,142,128,MODE2,20.0,2026-06-04T09:45:16.006630
3615000,21.19,136,128,MODE2,20.0,2026-06-04T09:45:21.000730
3620000,21.12,130,128,MODE2,20.0,2026-06-04T09:45:26.000209
3625000,21.12,130,128,MODE2,20.0,2026-06-04T09:45:30.996395
3630000,21.06,124,128,MODE2,20.0,2026-06-04T09:45:35.997128
3635000,21.06,124,128,MODE2,20.0,2026-06-04T09:45:40.997089
3640000,21.0,118,128,MODE2,20.0,2026-06-04T09:45:45.996098
3645000,21.0,118,128,MODE2,20.0,2026-06-04T09:45:50.996525
3650000,21.0,118,128,MODE2,20.0,2026-06-04T09:45:55.996011
3655000,20.94,112,128,MODE2,20.0,2026-06-04T09:46:00.996734
3660000,20.94,112,128,MODE2,20.0,2026-06-04T09:46:05.996493
3665000,20.88,106,128,MODE2,20.0,2026-06-04T09:46:10.996936
3670000,20.88,106,128,MODE2,20.0,2026-06-04T09:46:15.995774
3675000,20.88,106,128,MODE2,20.0,2026-06-04T09:46:20.994869
3680000,20.81,100,128,MODE2,20.0,2026-06-04T09:46:25.995759
3685000,20.81,100,128,MODE2,20.0,2026-06-04T09:46:30.994525
3690000,20.75,94,128,MODE2,20.0,2026-06-04T09:46:35.999174
3695000,20.75,94,128,MODE2,20.0,2026-06-04T09:46:41.000420
3700000,20.75,94,128,MODE2,20.0,2026-06-04T09:46:45.995764
3705000,20.75,95,128,MODE2,20.0,2026-06-04T09:46:50.998557
3710000,20.69,88,128,MODE2,20.0,2026-06-04T09:46:55.996081
3715000,20.69,88,128,MODE2,20.0,2026-06-04T09:47:00.997134
3720000,20.69,89,128,MODE2,20.0,2026-06-04T09:47:05.997756
3725000,20.62,82,128,MODE2,20.0,2026-06-04T09:47:10.997355
3730000,20.62,82,128,MODE2,20.0,2026-06-04T09:47:15.994634
3735000,20.62,83,128,MODE2,20.0,2026-06-04T09:47:20.996600
3740000,20.62,83,128,MODE2,20.0,2026-06-04T09:47:25.994854
3745000,20.62,83,128,MODE2,20.0,2026-06-04T09:47:30.996722
3750000,20.56,77,128,MODE2,20.0,2026-06-04T09:47:35.996021
3755000,20.56,77,128,MODE2,20.0,2026-06-04T09:47:40.993704
3760000,20.56,77,128,MODE2,20.0,2026-06-04T09:47:45.992598
3765000,20.56,77,128,MODE2,20.0,2026-06-04T09:47:50.993261
3770000,20.5,71,128,MODE2,20.0,2026-06-04T09:47:55.997007
3775000,20.5,71,128,MODE2,20.0,2026-06-04T09:48:00.992995
3780000,20.5,71,128,MODE2,20.0,2026-06-04T09:48:05.993084
3785000,20.5,71,128,MODE2,20.0,2026-06-04T09:48:11.003098
3790000,20.5,71,128,MODE2,20.0,2026-06-04T09:48:15.992919
3795000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:20.991314
3800000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:25.994339
3805000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:30.992843
3810000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:35.997337
3815000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:40.993497
3820000,20.44,65,128,MODE2,20.0,2026-06-04T09:48:46.008326
3825000,20.37,59,128,MODE2,20.0,2026-06-04T09:48:51.049122
3830000,20.37,59,128,MODE2,20.0,2026-06-04T09:48:55.991766
3835000,20.37,59,128,MODE2,20.0,2026-06-04T09:49:00.994486
3840000,20.37,59,128,MODE2,20.0,2026-06-04T09:49:05.995010
3845000,20.37,59,128,MODE2,20.0,2026-06-04T09:49:10.989558
3850000,20.37,60,128,MODE2,20.0,2026-06-04T09:49:15.993095
3855000,20.37,60,128,MODE2,20.0,2026-06-04T09:49:20.990884
3860000,20.37,60,128,MODE2,20.0,2026-06-04T09:49:25.990540
3865000,20.31,53,128,MODE2,20.0,2026-06-04T09:49:30.992328
3870000,20.37,60,128,MODE2,20.0,2026-06-04T09:49:35.989531
3875000,20.31,53,128,MODE2,20.0,2026-06-04T09:49:40.990105
3880000,20.31,54,128,MODE2,20.0,2026-06-04T09:49:45.988541
3885000,20.31,54,128,MODE2,20.0,2026-06-04T09:49:50.990059
