time_ms,temp_C,peltier_pwm,pump_pwm
0,22.75,0,128
2667,22.81,0,128
5334,22.81,0,128
8001,22.81,0,128
10668,22.81,0,128
13197,22.87,0,128
15864,22.87,0,128
18531,22.94,0,128
21198,22.94,0,128
23865,23.0,0,128
26532,23.0,0,128
29199,23.0,0,128
31866,23.06,0,128
34533,23.06,0,128
37200,23.06,0,128
39867,23.06,0,128
42534,23.06,0,128
45201,23.06,0,128
47868,23.06,0,128
50535,23.06,0,128
53202,23.12,0,128
55869,23.12,0,128
58536,23.06,0,128
61203,23.12,153,128
63870,23.12,153,128
66537,23.12,153,128
69204,23.12,153,128
71871,23.12,153,128
74538,23.12,153,128
77205,23.12,153,128
79872,23.12,153,128
82539,23.12,153,128
85206,23.12,153,128
87873,23.12,153,128
90540,23.12,153,128
93207,23.12,153,128
95874,23.06,153,128
98541,23.12,153,128
101208,23.06,153,128
103875,23.06,153,128
106542,23.06,153,128
109209,23.06,153,128
111876,23.06,153,128
114543,23.06,153,128
117210,23.06,153,128
119877,23.06,153,128
122544,23.06,153,128
125211,23.06,153,128
127878,23.0,153,128
130545,23.0,153,128
133212,23.0,153,128
135879,23.0,153,128
138546,23.0,153,128
141213,23.0,153,128
143880,23.0,153,128
146547,23.0,153,128
149214,23.0,153,128
151881,23.0,153,128
154548,23.0,153,128
157215,23.0,153,128
159882,22.94,153,128
162549,22.94,153,128
165216,22.94,153,128
167883,22.94,153,128
170550,22.94,153,128
173217,22.94,153,128
175884,22.94,153,128
178551,22.94,153,128
181218,22.94,153,128
183885,22.94,153,128
186552,22.94,153,128
189219,22.87,153,128
191886,22.94,153,128
194553,22.87,153,128
197220,22.87,153,128
199887,22.87,153,128
202554,22.87,153,128
205221,22.87,153,128
207888,22.87,153,128
210555,22.87,153,128
213222,22.87,153,128
215889,22.87,153,128
218556,22.87,153,128
221223,22.87,153,128
223890,22.87,153,128
226557,22.87,153,128
229224,22.87,153,128
231891,22.87,153,128
234558,22.87,153,128
237225,22.87,153,128
239892,22.81,153,128
242559,22.81,153,128
245226,22.81,153,128
247893,22.81,153,128
250560,22.81,153,128
253227,22.81,153,128
255894,22.81,153,128
258561,22.81,153,128
261228,22.81,153,128
263895,22.81,153,128
266562,22.81,153,128
269229,22.81,153,128
271896,22.81,153,128
274563,22.81,153,128
277230,22.75,153,128
279897,22.75,153,128
282564,22.75,153,128
285231,22.75,153,128
287898,22.75,153,128
290565,22.75,153,128
293232,22.75,153,128
295899,22.75,153,128
298566,22.75,153,128
301233,22.75,153,128
303900,22.75,153,128
306567,22.75,153,128
309234,22.75,153,128
311901,22.75,153,128
314568,22.69,153,128
317235,22.69,153,128
319902,22.69,153,128
322569,22.69,153,128
325236,22.69,153,128
327903,22.69,153,128
330570,22.69,153,128
333237,22.69,153,128
335904,22.69,153,128
338571,22.69,153,128
341238,22.69,153,128
343905,22.69,153,128
346572,22.69,153,128
349239,22.69,153,128
351906,22.62,153,128
354573,22.62,153,128
357240,22.62,153,128
359907,22.62,153,128
362574,22.62,153,128
365241,22.62,153,128
367908,22.62,153,128
370115,22.62,153,128
372782,22.62,153,128
375449,22.62,153,128
378116,22.62,153,128
380783,22.62,153,128
383450,22.62,153,128
386117,22.62,153,128
388784,22.62,153,128
391451,22.62,153,128
394118,22.62,153,128
396785,22.56,153,128
399452,22.62,153,128
402119,22.56,153,128
404786,22.62,153,128
407453,22.56,153,128
410120,22.56,153,128
412787,22.56,153,128
415454,22.56,153,128
418121,22.56,153,128
420788,22.56,153,128
423455,22.56,153,128
426122,22.56,153,128
428789,22.56,153,128
431456,22.56,153,128
434123,22.56,153,128
436790,22.56,153,128
439457,22.56,153,128
442124,22.5,153,128
444791,22.5,153,128
447458,22.5,153,128
450125,22.5,153,128
452792,22.5,153,128
455459,22.5,153,128
458126,22.5,153,128
460793,22.5,153,128
463460,22.5,153,128
466127,22.5,153,128
468794,22.5,153,128
471461,22.5,153,128
474128,22.5,153,128
476795,22.5,153,128
479462,22.44,153,128
482129,22.5,153,128
484796,22.44,153,128
487463,22.44,153,128
490130,22.44,153,128
492797,22.44,153,128
495464,22.44,153,128
498131,22.44,153,128
500798,22.44,153,128
503465,22.44,153,128
506132,22.44,153,128
508799,22.44,153,128
511466,22.44,153,128
514133,22.44,153,128
516800,22.44,153,128
519467,22.44,153,128
522134,22.37,153,128
